policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,50,250.000,replay/model/control-plane,1.079696,0.012222,15,1.181291,0.000000,0.464986,1.324936,,,99.031766,127.500000,0.776720,0.000000
cga,CGA,50,250.000,replay/model/control-plane,1.079696,0.012222,15,1.181291,0.000000,0.464986,1.324936,,,97.802090,127.500000,0.767075,0.000000
hda,HDA,50,250.000,replay/model/control-plane,1.079696,0.012222,15,1.181291,0.000000,0.464986,1.324936,,,93.657706,127.500000,0.734570,0.000000
kubernetes-default,K8s default,51,255.000,replay/model/control-plane,1.081854,0.001994,15,1.181291,0.000000,0.464986,1.324936,,,101.969145,127.500000,0.799758,0.000000
cga,CGA,51,255.000,replay/model/control-plane,1.081854,0.001994,15,1.181291,0.000000,0.464986,1.324936,,,95.940549,127.500000,0.752475,0.000000
hda,HDA,51,255.000,replay/model/control-plane,1.081854,0.001994,15,1.181291,0.000000,0.464986,1.324936,,,95.526778,127.500000,0.749230,0.000000
kubernetes-default,K8s default,52,260.000,replay/model/control-plane,1.084175,0.002140,15,1.181291,0.000000,0.464986,1.324936,,,103.031409,127.500000,0.808089,0.000000
cga,CGA,52,260.000,replay/model/control-plane,1.084175,0.002140,15,1.181291,0.000000,0.464986,1.324936,,,97.001442,127.500000,0.760796,0.000000
hda,HDA,52,260.000,replay/model/control-plane,1.084175,0.002140,15,1.181291,0.000000,0.464986,1.324936,,,88.567747,127.500000,0.694649,0.000000
kubernetes-default,K8s default,53,265.000,replay/model/control-plane,1.064388,0.018250,15,1.181291,0.000000,0.464986,1.324936,,,100.220336,127.500000,0.786042,0.000000
cga,CGA,53,265.000,replay/model/control-plane,1.064388,0.018250,15,1.181291,0.000000,0.464986,1.324936,,,96.747981,127.500000,0.758808,0.000000
hda,HDA,53,265.000,replay/model/control-plane,1.064388,0.018250,15,1.181291,0.000000,0.464986,1.324936,,,96.355639,127.500000,0.755730,0.000000
kubernetes-default,K8s default,54,270.000,replay/model/control-plane,1.016580,0.060238,14,1.181291,0.000000,0.451198,1.237382,,,100.161007,127.500000,0.785577,0.000000
cga,CGA,54,270.000,replay/model/control-plane,1.016580,0.060238,14,1.181291,0.000000,0.451198,1.237382,,,95.245526,127.500000,0.747024,0.000000
hda,HDA,54,270.000,replay/model/control-plane,1.016580,0.060238,14,1.181291,0.000000,0.451198,1.237382,,,90.209572,127.500000,0.707526,0.000000
kubernetes-default,K8s default,55,275.000,replay/model/control-plane,1.004089,0.012287,14,1.181291,0.000000,0.451198,1.237382,,,101.719268,127.500000,0.797798,0.000000
cga,CGA,55,275.000,replay/model/control-plane,1.004089,0.012287,14,1.181291,0.000000,0.451198,1.237382,,,91.372274,127.500000,0.716645,0.000000
hda,HDA,55,275.000,replay/model/control-plane,1.004089,0.012287,14,1.181291,0.000000,0.451198,1.237382,,,88.888279,127.500000,0.697163,0.000000
