ts,worker,path,method,status,latency_ms,bytes,error
2026-06-16T02:37:18.351917+00:00,0,/product/2ZYFJ3GM2N,GET,200,184.2909692786634,7968,
2026-06-16T02:37:18.352311+00:00,1,/product/2ZYFJ3GM2N,GET,200,187.73265089839697,7984,
2026-06-16T02:37:18.368528+00:00,7,/product/2ZYFJ3GM2N,GET,200,117.30350507423282,8010,
2026-06-16T02:37:18.377544+00:00,5,/cart,GET,200,111.98314419016242,6859,
2026-06-16T02:37:18.459447+00:00,4,/,GET,200,207.90744107216597,10499,
2026-06-16T02:37:18.460066+00:00,6,/product/0PUK6V6EV0,GET,200,191.76757102832198,7938,
2026-06-16T02:37:18.466335+00:00,3,/,GET,200,201.80461602285504,10499,
2026-06-16T02:37:18.474903+00:00,0,/product/0PUK6V6EV0,GET,200,122.9231609031558,7992,
2026-06-16T02:37:18.475276+00:00,2,/product/2ZYFJ3GM2N,GET,200,196.5316259302199,7970,
2026-06-16T02:37:18.476149+00:00,1,/cart,GET,200,123.78065567463636,6841,
2026-06-16T02:37:18.561192+00:00,7,/product/2ZYFJ3GM2N,GET,200,192.59665301069617,8014,
2026-06-16T02:37:18.564868+00:00,5,/product/0PUK6V6EV0,GET,200,187.28133104741573,7978,
2026-06-16T02:37:18.582642+00:00,6,/,GET,200,122.47886415570974,10499,
2026-06-16T02:37:18.587246+00:00,4,/product/0PUK6V6EV0,GET,200,127.69662076607347,7944,
2026-06-16T02:37:18.588716+00:00,3,/product/2ZYFJ3GM2N,GET,200,122.28575022891164,7972,
2026-06-16T02:37:18.651415+00:00,2,/cart,GET,200,176.1353979818523,6849,
2026-06-16T02:37:18.651857+00:00,1,/cart,GET,200,175.6630688905716,6837,
2026-06-16T02:37:18.656614+00:00,0,/,GET,200,181.66263028979301,10499,
2026-06-16T02:37:18.678546+00:00,6,/cart,GET,200,95.80904012545943,6875,
2026-06-16T02:37:18.686986+00:00,7,/product/2ZYFJ3GM2N,GET,200,125.71412790566683,7964,
2026-06-16T02:37:18.687398+00:00,5,/product/0PUK6V6EV0,GET,200,122.45026975870132,7966,
2026-06-16T02:37:18.756927+00:00,4,/product/2ZYFJ3GM2N,GET,200,169.69149000942707,7992,
2026-06-16T02:37:18.765495+00:00,0,/product/2ZYFJ3GM2N,GET,200,108.85586403310299,7944,
2026-06-16T02:37:18.765971+00:00,1,/product/2ZYFJ3GM2N,GET,200,114.06162986531854,7970,
2026-06-16T02:37:18.766732+00:00,3,/product/2ZYFJ3GM2N,GET,200,177.98052495345473,7964,
2026-06-16T02:37:18.767070+00:00,2,/product/2ZYFJ3GM2N,GET,200,115.56679382920265,7982,
2026-06-16T02:37:18.788956+00:00,7,/cart,GET,200,101.92607203498483,6863,
2026-06-16T02:37:18.789393+00:00,6,/product/0PUK6V6EV0,GET,200,110.79156119376421,7960,
2026-06-16T02:37:18.790491+00:00,5,/product/2ZYFJ3GM2N,GET,200,103.03755477070808,7992,
